total time elapsed: 0h 1m 59s , epoch: 57, best accuracy: 86.00%, best loss 0.415848
total time elapsed: 0h 2m 1s , epoch: 58, best accuracy: 86.00%, best loss 0.415848
total time elapsed: 0h 2m 3s , epoch: 59, best accuracy: 86.00%, best loss 0.415848
total time elapsed: 0h 2m 5s , epoch: 60, best accuracy: 86.00%, best loss 0.415848
total time elapsed: 0h 2m 7s , epoch: 61, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 8s , epoch: 62, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 10s , epoch: 63, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 12s , epoch: 64, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 14s , epoch: 65, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 16s , epoch: 66, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 18s , epoch: 67, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 20s , epoch: 68, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 2m 22s , epoch: 69, best accuracy: 86.00%, best loss 0.370174
total time elapsed: 0h 0m 2s , epoch: 0, best accuracy: 5.00%, best loss 2044.622192
total time elapsed: 0h 0m 11s , epoch: 0, best accuracy: 20.00%, best loss 1813.576477
total time elapsed: 0h 0m 11s , epoch: 0, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 12s , epoch: 1, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 14s , epoch: 2, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 16s , epoch: 3, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 17s , epoch: 4, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 19s , epoch: 5, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 21s , epoch: 6, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 22s , epoch: 7, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 24s , epoch: 8, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 26s , epoch: 9, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 27s , epoch: 10, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 29s , epoch: 11, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 31s , epoch: 12, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 32s , epoch: 13, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 34s , epoch: 14, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 36s , epoch: 15, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 37s , epoch: 16, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 39s , epoch: 17, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 41s , epoch: 18, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 42s , epoch: 19, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 44s , epoch: 20, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 46s , epoch: 21, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 47s , epoch: 22, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 49s , epoch: 23, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 50s , epoch: 24, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 52s , epoch: 25, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 54s , epoch: 26, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 56s , epoch: 27, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 57s , epoch: 28, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 59s , epoch: 29, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 1s , epoch: 30, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 2s , epoch: 31, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 4s , epoch: 32, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 6s , epoch: 33, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 7s , epoch: 34, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 9s , epoch: 35, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 11s , epoch: 36, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 1m 12s , epoch: 37, best accuracy: 4.00%, best loss 794.886383
total time elapsed: 0h 0m 2s , epoch: 0, best accuracy: 2.00%, best loss 96.455570
total time elapsed: 0h 0m 3s , epoch: 1, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 5s , epoch: 2, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 7s , epoch: 3, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 9s , epoch: 4, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 10s , epoch: 5, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 12s , epoch: 6, best accuracy: 2.00%, best loss 93.686729
total time elapsed: 0h 0m 2s , epoch: 0, best accuracy: 7.00%, best loss 2.813998
total time elapsed: 0h 0m 3s , epoch: 1, best accuracy: 7.00%, best loss 2.813998
total time elapsed: 0h 0m 5s , epoch: 2, best accuracy: 7.00%, best loss 2.813998
total time elapsed: 0h 0m 11s , epoch: 0, best accuracy: 4.00%, best loss 2.850963
total time elapsed: 0h 0m 12s , epoch: 1, best accuracy: 4.00%, best loss 2.850682
total time elapsed: 0h 0m 14s , epoch: 2, best accuracy: 4.00%, best loss 2.824501
total time elapsed: 0h 0m 16s , epoch: 3, best accuracy: 7.00%, best loss 2.824501
total time elapsed: 0h 0m 17s , epoch: 4, best accuracy: 7.00%, best loss 2.824501
total time elapsed: 0h 0m 19s , epoch: 5, best accuracy: 7.00%, best loss 2.824501
total time elapsed: 0h 0m 21s , epoch: 6, best accuracy: 7.00%, best loss 2.824501
total time elapsed: 0h 0m 23s , epoch: 7, best accuracy: 7.00%, best loss 2.815729
total time elapsed: 0h 0m 24s , epoch: 8, best accuracy: 7.00%, best loss 2.815729
total time elapsed: 0h 0m 26s , epoch: 9, best accuracy: 7.00%, best loss 2.815729
total time elapsed: 0h 0m 27s , epoch: 10, best accuracy: 7.00%, best loss 2.806131
total time elapsed: 0h 0m 29s , epoch: 11, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 31s , epoch: 12, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 32s , epoch: 13, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 34s , epoch: 14, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 36s , epoch: 15, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 37s , epoch: 16, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 39s , epoch: 17, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 41s , epoch: 18, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 42s , epoch: 19, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 44s , epoch: 20, best accuracy: 10.00%, best loss 2.806131
